2018-01-02,171.5605
2018-01-03,171.5306
2018-01-04,172.3273
2018-01-05,174.2893
2018-01-08,173.642
2018-01-09,173.622
2018-01-10,173.5822
2018-01-11,174.5682
2018-01-12,176.3708
2018-01-16,175.4745
2018-01-17,178.3727
2018-01-18,178.532
2018-01-19,177.7353
2018-01-22,176.2812
2018-01-23,176.321
2018-01-24,173.5125
2018-01-25,170.4151
2018-01-26,170.8135
2018-01-29,167.2779
2018-01-30,166.2919
2018-01-31,166.7501
2018-02-01,167.0986
2018-02-02,159.8482
2018-02-05,155.8545
2018-02-06,162.3679
2018-02-07,158.8921
2018-02-08,154.5199
2018-02-09,156.41
2018-02-12,162.71
2018-02-13,164.34
2018-02-14,167.37
2018-02-15,172.99
2018-02-16,172.43
2018-02-20,171.85
2018-02-21,171.07
2018-02-22,172.5
2018-02-23,175.5
2018-02-26,178.97
2018-02-27,178.39
2018-02-28,178.12
2018-03-01,175
2018-03-02,176.21
2018-03-05,176.82
2018-03-06,176.67
2018-03-07,175.03
2018-03-08,176.94
2018-03-09,179.98
2018-03-12,181.72
2018-03-13,179.97
2018-03-14,178.44
2018-03-15,178.65
2018-03-16,178.02
2018-03-19,175.3
2018-03-20,175.24
2018-03-21,171.27
2018-03-22,168.85
2018-03-23,164.94
2018-03-26,172.77
2018-03-27,168.34
2018-03-28,166.48
2018-03-29,167.78
2018-04-02,166.68
2018-04-03,168.39
2018-04-04,171.61
2018-04-05,172.8
2018-04-06,168.38
2018-04-09,170.05
2018-04-10,173.25
2018-04-11,172.44
2018-04-12,174.14
2018-04-13,174.73
2018-04-16,175.82
2018-04-17,178.24
2018-04-18,177.84
2018-04-19,172.8
2018-04-20,165.72
2018-04-23,165.24
